CrimeNumber,CrimeRegisteredDate,BriefFacts,CaseStatus,CrimeMajorHead,CrimeMinorHead,PoliceStation,District,Latitude,Longitude,CaseStatusID,CategoryID,GravityID,CrimeHeadID,CrimeSubHeadID,UnitID,DistrictID,OfficerID
KSP/DIS011/2026/00011,2026-12-12,"Cyber Crime reported at Mandya Cyber Crime PS, Mandya. Brief: Hacking, malware infection, IT Act violation. Incident occurred near Mandya Cyber Crime PS, Mandya, Karnataka.",Acquitted,Cyber Crime & Online Fraud,Cyber Crime,Mandya Cyber Crime PS,Mandya,12.5068,76.8801,CS005,CAT003,GR001,CH004,CSH011,U048,DIS011,OFF171
KSP/DIS012/2026/00012,2026-01-13,"UPI Fraud reported at Hassan Traffic PS, Hassan. Brief: Fake QR code or deceptive payment request. Incident occurred near Hassan Traffic PS, Hassan, Karnataka.",Closed / Undetected,Cyber Crime & Online Fraud,UPI Fraud,Hassan Traffic PS,Hassan,13.0013,76.0984,CS006,CAT004,GR002,CH004,CSH012,U053,DIS012,OFF187
KSP/DIS013/2026/00013,2026-02-14,"Online Banking Fraud reported at Chamarajanagara Town PS, Chamarajanagara. Brief: Phishing link leading to net banking unauthorized debit. Incident occurred near Chamarajanagara Town PS, Chamarajanagara, Karnataka.",Under Investigation,Cyber Crime & Online Fraud,Online Banking Fraud,Chamarajanagara Town PS,Chamarajanagara,11.8891,76.9067,CS001,CAT001,GR003,CH004,CSH013,U054,DIS013,OFF203
KSP/DIS014/2026/00014,2026-03-15,"Identity Theft reported at Kodagu Central PS, Kodagu. Brief: SIM swap or stolen credential impersonation. Incident occurred near Kodagu Central PS, Kodagu, Karnataka.",Charge Sheeted,Cyber Crime & Online Fraud,Identity Theft,Kodagu Central PS,Kodagu,12.4004,75.7142,CS002,CAT002,GR004,CH004,CSH014,U059,DIS014,OFF219
KSP/DIS015/2026/00015,2026-04-16,"ATM Fraud reported at Dakshina Kannada (Mangaluru) Cyber Crime PS, Dakshina Kannada (Mangaluru). Brief: ATM skimming device or card cloning. Incident occurred near Dakshina Kannada (Mangaluru) Cyber Crime PS, Dakshina Kannada (Mangaluru), Karnataka.",Pending Trial,Cyber Crime & Online Fraud,ATM Fraud,Dakshina Kannada (Mangaluru) Cyber Crime PS,Dakshina Kannada (Mangaluru),12.9031,74.8450,CS003,CAT003,GR005,CH004,CSH015,U064,DIS015,OFF235
KSP/DIS016/2026/00016,2026-05-17,"Rape reported at Udupi Traffic PS, Udupi. Brief: Penal Code Section 376 prosecution. Incident occurred near Udupi Traffic PS, Udupi, Karnataka.",Convicted,Crime Against Women & Children,Rape,Udupi Traffic PS,Udupi,13.3429,74.7441,CS004,CAT004,GR001,CH005,CSH016,U069,DIS016,OFF236
KSP/DIS017/2026/00017,2026-06-18,"Sexual Assault reported at Uttara Kannada (Karwar) Town PS, Uttara Kannada (Karwar). Brief: Outraging modesty and sexual harassment. Incident occurred near Uttara Kannada (Karwar) Town PS, Uttara Kannada (Karwar), Karnataka.",Acquitted,Crime Against Women & Children,Sexual Assault,Uttara Kannada (Karwar) Town PS,Uttara Kannada (Karwar),14.7855,74.0973,CS005,CAT001,GR002,CH005,CSH017,U070,DIS017,OFF252
KSP/DIS018/2026/00018,2026-07-19,"POCSO reported at Belagavi Central PS, Belagavi. Brief: Protection of Children from Sexual Offences Act case. Incident occurred near Belagavi Central PS, Belagavi, Karnataka.",Closed / Undetected,Crime Against Women & Children,POCSO,Belagavi Central PS,Belagavi,15.8297,74.4777,CS006,CAT002,GR003,CH005,CSH018,U075,DIS018,OFF268
KSP/DIS019/2026/00019,2026-08-20,"Domestic Violence reported at Dharwad Cyber Crime PS, Dharwad. Brief: Spousal abuse and dowry harassment IPC 498A. Incident occurred near Dharwad Cyber Crime PS, Dharwad, Karnataka.",Under Investigation,Crime Against Women & Children,Domestic Violence,Dharwad Cyber Crime PS,Dharwad,15.4519,75.0008,CS001,CAT003,GR004,CH005,CSH019,U080,DIS019,OFF284
KSP/DIS020/2026/00020,2026-09-21,"Illegal Weapons reported at Hubballi City Traffic PS, Hubballi City. Brief: Arms Act violation involving unlicensed firearms. Incident occurred near Hubballi City Traffic PS, Hubballi City, Karnataka.",Charge Sheeted,Organized Crime & Extortion,Illegal Weapons,Hubballi City Traffic PS,Hubballi City,15.3707,75.1300,CS002,CAT004,GR005,CH007,CSH020,U085,DIS020,OFF300
KSP/DIS021/2026/00021,2026-10-22,"Drug Trafficking reported at Gadag Town PS, Gadag. Brief: NDPS Act commercial quantity drug seizure. Incident occurred near Gadag Town PS, Gadag, Karnataka.",Pending Trial,Narcotics & Contraband,Drug Trafficking,Gadag Town PS,Gadag,15.4029,75.6028,CS003,CAT001,GR001,CH006,CSH021,U086,DIS021,OFF316
KSP/DIS022/2026/00022,2026-11-23,"Human Trafficking reported at Haveri Central PS, Haveri. Brief: Forced labor or trafficking rescue operation. Incident occurred near Haveri Central PS, Haveri, Karnataka.",Convicted,Organized Crime & Extortion,Human Trafficking,Haveri Central PS,Haveri,14.7786,75.3837,CS004,CAT002,GR002,CH007,CSH022,U091,DIS022,OFF332
KSP/DIS023/2026/00023,2026-12-24,"Gambling reported at Vijayapura Cyber Crime PS, Vijayapura. Brief: Illegal betting & Matka operation bust. Incident occurred near Vijayapura Cyber Crime PS, Vijayapura, Karnataka.",Acquitted,Public Disturbance & Miscellaneous,Gambling,Vijayapura Cyber Crime PS,Vijayapura,16.8272,75.7070,CS005,CAT003,GR003,CH012,CSH023,U096,DIS023,OFF348
KSP/DIS024/2026/00024,2026-01-25,"Wildlife Crime reported at Bagalkote Traffic PS, Bagalkote. Brief: Poaching of protected species or ivory seizure. Incident occurred near Bagalkote Traffic PS, Bagalkote, Karnataka.",Closed / Undetected,Environmental & Forest Crime,Wildlife Crime,Bagalkote Traffic PS,Bagalkote,16.1953,75.7063,CS006,CAT004,GR004,CH009,CSH024,U101,DIS024,OFF364
KSP/DIS025/2026/00025,2026-02-26,"Forest Crime reported at Kalaburagi Town PS, Kalaburagi. Brief: Illegal sandalwood or timber smuggling. Incident occurred near Kalaburagi Town PS, Kalaburagi, Karnataka.",Under Investigation,Environmental & Forest Crime,Forest Crime,Kalaburagi Town PS,Kalaburagi,17.3047,76.8093,CS001,CAT001,GR005,CH009,CSH025,U102,DIS025,OFF380
KSP/DIS026/2026/00026,2026-03-27,"Terror Related Activity reported at Bidar Central PS, Bidar. Brief: Unlawful Activities Prevention Act (UAPA) investigation. Incident occurred near Bidar Central PS, Bidar, Karnataka.",Charge Sheeted,Terror & National Security,Terror Related Activity,Bidar Central PS,Bidar,17.8984,77.5079,CS002,CAT002,GR001,CH010,CSH026,U107,DIS026,OFF396
KSP/DIS027/2026/00027,2026-04-28,"Corruption reported at Raichur Cyber Crime PS, Raichur. Brief: Prevention of Corruption Act bribe trap. Incident occurred near Raichur Cyber Crime PS, Raichur, Karnataka.",Pending Trial,Economic & White Collar Offence,Corruption,Raichur Cyber Crime PS,Raichur,16.2086,77.3473,CS003,CAT003,GR002,CH008,CSH027,U112,DIS027,OFF412
KSP/DIS028/2026/00028,2026-05-01,"Economic Offence reported at Koppal Traffic PS, Koppal. Brief: Multi-crore Ponzi scheme or financial fraud. Incident occurred near Koppal Traffic PS, Koppal, Karnataka.",Convicted,Economic & White Collar Offence,Economic Offence,Koppal Traffic PS,Koppal,15.3645,76.1698,CS004,CAT004,GR003,CH008,CSH028,U117,DIS028,OFF428
KSP/DIS029/2026/00029,2026-06-02,"White Collar Crime reported at Yadgir Town PS, Yadgir. Brief: Corporate embezzlement or insider fraud. Incident occurred near Yadgir Town PS, Yadgir, Karnataka.",Acquitted,Economic & White Collar Offence,White Collar Crime,Yadgir Town PS,Yadgir,16.7468,77.1142,CS005,CAT001,GR004,CH008,CSH029,U118,DIS029,OFF444
KSP/DIS030/2026/00030,2026-07-03,"Smuggling reported at Ballari Central PS, Ballari. Brief: Contraband gold or red sanders interception. Incident occurred near Ballari Central PS, Ballari, Karnataka.",Closed / Undetected,Organized Crime & Extortion,Smuggling,Ballari Central PS,Ballari,15.1314,76.9134,CS006,CAT002,GR005,CH007,CSH030,U123,DIS030,OFF460
KSP/DIS031/2026/00031,2026-08-04,"Extortion reported at Vijayanagara (Hospete) Cyber Crime PS, Vijayanagara (Hospete). Brief: Demanding protection money under threat. Incident occurred near Vijayanagara (Hospete) Cyber Crime PS, Vijayanagara (Hospete), Karnataka.",Under Investigation,Organized Crime & Extortion,Extortion,Vijayanagara (Hospete) Cyber Crime PS,Vijayanagara (Hospete),15.2739,76.3959,CS001,CAT003,GR001,CH007,CSH031,U128,DIS031,OFF461
KSP/DIS001/2026/00032,2026-09-05,"Blackmail reported at Cubbon Park Police Station, Bengaluru Urban. Brief: Chantaje or extortion via compromised media. Incident occurred near Cubbon Park Police Station, Bengaluru Urban, Karnataka.",Charge Sheeted,Organized Crime & Extortion,Blackmail,Cubbon Park Police Station,Bengaluru Urban,13.0016,77.6246,CS002,CAT004,GR002,CH007,CSH032,U005,DIS001,OFF015
KSP/DIS002/2026/00033,2026-10-06,"Counterfeit Currency reported at Bengaluru Rural Town PS, Bengaluru Rural. Brief: FICN high-quality fake currency notes circulating. Incident occurred near Bengaluru Rural Town PS, Bengaluru Rural, Karnataka.",Pending Trial,Economic & White Collar Offence,Counterfeit Currency,Bengaluru Rural Town PS,Bengaluru Rural,13.2087,77.5580,CS003,CAT001,GR003,CH008,CSH033,U010,DIS002,OFF028
KSP/DIS003/2026/00034,2026-11-07,"Fake Documents reported at Ramanagara Central PS, Ramanagara. Brief: Forgery of land title deeds or government IDs. Incident occurred near Ramanagara Central PS, Ramanagara, Karnataka.",Convicted,Economic & White Collar Offence,Fake Documents,Ramanagara Central PS,Ramanagara,12.7119,77.2772,CS004,CAT002,GR004,CH008,CSH034,U015,DIS003,OFF044
KSP/DIS004/2026/00035,2026-12-08,"Hit and Run reported at Chikkaballapura Cyber Crime PS, Chikkaballapura. Brief: Fatal vehicular collision where driver fled scene. Incident occurred near Chikkaballapura Cyber Crime PS, Chikkaballapura, Karnataka.",Acquitted,Traffic & Road Incident,Hit and Run,Chikkaballapura Cyber Crime PS,Chikkaballapura,13.4445,77.7405,CS005,CAT003,GR005,CH011,CSH035,U020,DIS004,OFF060
KSP/DIS005/2026/00036,2026-01-09,"Road Accident reported at Kolar Traffic PS, Kolar. Brief: Negligent driving causing injury IPC 279/338. Incident occurred near Kolar Traffic PS, Kolar, Karnataka.",Closed / Undetected,Traffic & Road Incident,Road Accident,Kolar Traffic PS,Kolar,13.1587,78.1511,CS006,CAT004,GR001,CH011,CSH036,U025,DIS005,OFF076
KSP/DIS006/2026/00037,2026-02-10,"Fire Incident reported at Tumakuru Town PS, Tumakuru. Brief: Industrial or residential fire accident inquiry. Incident occurred near Tumakuru Town PS, Tumakuru, Karnataka.",Under Investigation,Public Disturbance & Miscellaneous,Fire Incident,Tumakuru Town PS,Tumakuru,13.3262,77.0885,CS001,CAT001,GR002,CH012,CSH037,U026,DIS006,OFF092
KSP/DIS007/2026/00038,2026-03-11,"Unknown Dead Body reported at Shivamogga Central PS, Shivamogga. Brief: Unidentified corpse inquest Section 174 CrPC. Incident occurred near Shivamogga Central PS, Shivamogga, Karnataka.",Charge Sheeted,Public Disturbance & Miscellaneous,Unknown Dead Body,Shivamogga Central PS,Shivamogga,13.9299,75.5681,CS002,CAT002,GR003,CH012,CSH038,U031,DIS007,OFF108
KSP/DIS008/2026/00039,2026-04-12,"Suicide Investigation reported at Chitradurga Cyber Crime PS, Chitradurga. Brief: Unnatural death and suicide note inquiry. Incident occurred near Chitradurga Cyber Crime PS, Chitradurga, Karnataka.",Pending Trial,Public Disturbance & Miscellaneous,Suicide Investigation,Chitradurga Cyber Crime PS,Chitradurga,14.2381,76.4110,CS003,CAT003,GR004,CH012,CSH039,U036,DIS008,OFF124
KSP/DIS009/2026/00040,2026-05-13,"Property Disputes reported at Davanagere Traffic PS, Davanagere. Brief: Civil boundary dispute causing law and order friction. Incident occurred near Davanagere Traffic PS, Davanagere, Karnataka.",Convicted,Public Disturbance & Miscellaneous,Property Disputes,Davanagere Traffic PS,Davanagere,14.4904,75.9478,CS004,CAT004,GR005,CH012,CSH040,U041,DIS009,OFF140
KSP/DIS010/2026/00041,2026-06-14,"Public Disturbance reported at Mysuru Town PS, Mysuru. Brief: Unlawful assembly, rioting, or public brawl. Incident occurred near Mysuru Town PS, Mysuru, Karnataka.",Acquitted,Public Disturbance & Miscellaneous,Public Disturbance,Mysuru Town PS,Mysuru,12.2868,76.6304,CS005,CAT001,GR001,CH012,CSH041,U042,DIS010,OFF156
KSP/DIS011/2026/00042,2026-07-15,"Synthetic Drugs (MDMA) reported at Mandya Central PS, Mandya. Brief: Commercial seizure of MDMA / Methamphetamine. Incident occurred near Mandya Central PS, Mandya, Karnataka.",Closed / Undetected,Narcotics & Contraband,Synthetic Drugs (MDMA),Mandya Central PS,Mandya,12.5258,76.8991,CS006,CAT002,GR002,CH006,CSH042,U047,DIS011,OFF172
KSP/DIS012/2026/00043,2026-08-16,"Murder reported at Hassan Cyber Crime PS, Hassan. Brief: Premeditated homicide investigation. Incident occurred near Hassan Cyber Crime PS, Hassan, Karnataka.",Under Investigation,Violent Crime,Murder,Hassan Cyber Crime PS,Hassan,13.0203,76.1174,CS001,CAT003,GR003,CH001,CSH001,U052,DIS012,OFF188
KSP/DIS013/2026/00044,2026-09-17,"Attempt to Murder reported at Chamarajanagara Traffic PS, Chamarajanagara. Brief: Violent assault with deadly weapon. Incident occurred near Chamarajanagara Traffic PS, Chamarajanagara, Karnataka.",Charge Sheeted,Violent Crime,Attempt to Murder,Chamarajanagara Traffic PS,Chamarajanagara,11.9561,76.9737,CS002,CAT004,GR004,CH001,CSH002,U057,DIS013,OFF204
KSP/DIS014/2026/00045,2026-10-18,"Assault & Grievous Hurt reported at Kodagu Town PS, Kodagu. Brief: Physical injury caused during gang/group clash. Incident occurred near Kodagu Town PS, Kodagu, Karnataka.",Pending Trial,Violent Crime,Assault & Grievous Hurt,Kodagu Town PS,Kodagu,12.4194,75.7332,CS003,CAT001,GR005,CH001,CSH003,U058,DIS014,OFF220
KSP/DIS015/2026/00046,2026-11-19,"Kidnapping reported at Dakshina Kannada (Mangaluru) Central PS, Dakshina Kannada (Mangaluru). Brief: Abduction for ransom or coercion. Incident occurred near Dakshina Kannada (Mangaluru) Central PS, Dakshina Kannada (Mangaluru), Karnataka.",Convicted,Violent Crime,Kidnapping,Dakshina Kannada (Mangaluru) Central PS,Dakshina Kannada (Mangaluru),12.9221,74.8640,CS004,CAT002,GR001,CH001,CSH004,U063,DIS015,OFF221
KSP/DIS016/2026/00047,2026-12-20,"Missing Person reported at Udupi Cyber Crime PS, Udupi. Brief: Trace & locate missing citizen petition. Incident occurred near Udupi Cyber Crime PS, Udupi, Karnataka.",Acquitted,Violent Crime,Missing Person,Udupi Cyber Crime PS,Udupi,13.3619,74.7631,CS005,CAT003,GR002,CH001,CSH005,U068,DIS016,OFF237
KSP/DIS017/2026/00048,2026-01-21,"Theft reported at Uttara Kannada (Karwar) Traffic PS, Uttara Kannada (Karwar). Brief: Larceny of personal or commercial goods. Incident occurred near Uttara Kannada (Karwar) Traffic PS, Uttara Kannada (Karwar), Karnataka.",Closed / Undetected,Property Crime,Theft,Uttara Kannada (Karwar) Traffic PS,Uttara Kannada (Karwar),14.8525,74.1643,CS006,CAT004,GR003,CH002,CSH006,U073,DIS017,OFF253
KSP/DIS018/2026/00049,2026-02-22,"Vehicle Theft reported at Belagavi Town PS, Belagavi. Brief: Stolen motor vehicle or two-wheeler. Incident occurred near Belagavi Town PS, Belagavi, Karnataka.",Under Investigation,Vehicle Theft,Vehicle Theft,Belagavi Town PS,Belagavi,15.8487,74.4967,CS001,CAT001,GR004,CH003,CSH007,U074,DIS018,OFF269
KSP/DIS019/2026/00050,2026-03-23,"Burglary reported at Dharwad Central PS, Dharwad. Brief: Overnight trespass and property theft. Incident occurred near Dharwad Central PS, Dharwad, Karnataka.",Charge Sheeted,Property Crime,Burglary,Dharwad Central PS,Dharwad,15.4709,75.0198,CS002,CAT002,GR005,CH002,CSH008,U079,DIS019,OFF285
KSP/DIS020/2026/00051,2026-04-24,"Robbery reported at Hubballi City Cyber Crime PS, Hubballi City. Brief: Armed robbery using force or coercion. Incident occurred near Hubballi City Cyber Crime PS, Hubballi City, Karnataka.",Pending Trial,Property Crime,Robbery,Hubballi City Cyber Crime PS,Hubballi City,15.3897,75.1490,CS003,CAT003,GR001,CH002,CSH009,U084,DIS020,OFF301
KSP/DIS021/2026/00052,2026-05-25,"Chain Snatching reported at Gadag Traffic PS, Gadag. Brief: Snatching jewelry from pedestrians on public road. Incident occurred near Gadag Traffic PS, Gadag, Karnataka.",Convicted,Property Crime,Chain Snatching,Gadag Traffic PS,Gadag,15.4699,75.6698,CS004,CAT004,GR002,CH002,CSH010,U089,DIS021,OFF317
KSP/DIS022/2026/00053,2026-06-26,"Cyber Crime reported at Haveri Town PS, Haveri. Brief: Hacking, malware infection, IT Act violation. Incident occurred near Haveri Town PS, Haveri, Karnataka.",Acquitted,Cyber Crime & Online Fraud,Cyber Crime,Haveri Town PS,Haveri,14.7976,75.4027,CS005,CAT001,GR003,CH004,CSH011,U090,DIS022,OFF333
KSP/DIS023/2026/00054,2026-07-27,"UPI Fraud reported at Vijayapura Central PS, Vijayapura. Brief: Fake QR code or deceptive payment request. Incident occurred near Vijayapura Central PS, Vijayapura, Karnataka.",Closed / Undetected,Cyber Crime & Online Fraud,UPI Fraud,Vijayapura Central PS,Vijayapura,16.8462,75.7260,CS006,CAT002,GR004,CH004,CSH012,U095,DIS023,OFF349
KSP/DIS024/2026/00055,2026-08-28,"Online Banking Fraud reported at Bagalkote Cyber Crime PS, Bagalkote. Brief: Phishing link leading to net banking unauthorized debit. Incident occurred near Bagalkote Cyber Crime PS, Bagalkote, Karnataka.",Under Investigation,Cyber Crime & Online Fraud,Online Banking Fraud,Bagalkote Cyber Crime PS,Bagalkote,16.2143,75.7253,CS001,CAT003,GR005,CH004,CSH013,U100,DIS024,OFF365
KSP/DIS025/2026/00056,2026-09-01,"Identity Theft reported at Kalaburagi Traffic PS, Kalaburagi. Brief: SIM swap or stolen credential impersonation. Incident occurred near Kalaburagi Traffic PS, Kalaburagi, Karnataka.",Charge Sheeted,Cyber Crime & Online Fraud,Identity Theft,Kalaburagi Traffic PS,Kalaburagi,17.3717,76.8763,CS002,CAT004,GR001,CH004,CSH014,U105,DIS025,OFF381
KSP/DIS026/2026/00057,2026-10-02,"ATM Fraud reported at Bidar Town PS, Bidar. Brief: ATM skimming device or card cloning. Incident occurred near Bidar Town PS, Bidar, Karnataka.",Pending Trial,Cyber Crime & Online Fraud,ATM Fraud,Bidar Town PS,Bidar,17.9174,77.5269,CS003,CAT001,GR002,CH004,CSH015,U106,DIS026,OFF397
KSP/DIS027/2026/00058,2026-11-03,"Rape reported at Raichur Central PS, Raichur. Brief: Penal Code Section 376 prosecution. Incident occurred near Raichur Central PS, Raichur, Karnataka.",Convicted,Crime Against Women & Children,Rape,Raichur Central PS,Raichur,16.2276,77.3663,CS004,CAT002,GR003,CH005,CSH016,U111,DIS027,OFF413
KSP/DIS028/2026/00059,2026-12-04,"Sexual Assault reported at Koppal Cyber Crime PS, Koppal. Brief: Outraging modesty and sexual harassment. Incident occurred near Koppal Cyber Crime PS, Koppal, Karnataka.",Acquitted,Crime Against Women & Children,Sexual Assault,Koppal Cyber Crime PS,Koppal,15.3835,76.1888,CS005,CAT003,GR004,CH005,CSH017,U116,DIS028,OFF429
KSP/DIS029/2026/00060,2026-01-05,"POCSO reported at Yadgir Traffic PS, Yadgir. Brief: Protection of Children from Sexual Offences Act case. Incident occurred near Yadgir Traffic PS, Yadgir, Karnataka.",Closed / Undetected,Crime Against Women & Children,POCSO,Yadgir Traffic PS,Yadgir,16.8138,77.1812,CS006,CAT004,GR005,CH005,CSH018,U121,DIS029,OFF445
KSP/DIS030/2026/00061,2026-02-06,"Domestic Violence reported at Ballari Town PS, Ballari. Brief: Spousal abuse and dowry harassment IPC 498A. Incident occurred near Ballari Town PS, Ballari, Karnataka.",Under Investigation,Crime Against Women & Children,Domestic Violence,Ballari Town PS,Ballari,15.1504,76.9324,CS001,CAT001,GR001,CH005,CSH019,U122,DIS030,OFF446
KSP/DIS031/2026/00062,2026-03-07,"Illegal Weapons reported at Vijayanagara (Hospete) Central PS, Vijayanagara (Hospete). Brief: Arms Act violation involving unlicensed firearms. Incident occurred near Vijayanagara (Hospete) Central PS, Vijayanagara (Hospete), Karnataka.",Charge Sheeted,Organized Crime & Extortion,Illegal Weapons,Vijayanagara (Hospete) Central PS,Vijayanagara (Hospete),15.2929,76.4149,CS002,CAT002,GR002,CH007,CSH020,U127,DIS031,OFF462
KSP/DIS001/2026/00063,2026-04-08,"Drug Trafficking reported at Jayanagar Police Station, Bengaluru Urban. Brief: NDPS Act commercial quantity drug seizure. Incident occurred near Jayanagar Police Station, Bengaluru Urban, Karnataka.",Pending Trial,Narcotics & Contraband,Drug Trafficking,Jayanagar Police Station,Bengaluru Urban,13.0806,77.7036,CS003,CAT003,GR003,CH006,CSH021,U009,DIS001,OFF025
KSP/DIS002/2026/00064,2026-05-09,"Human Trafficking reported at Bengaluru Rural Traffic PS, Bengaluru Rural. Brief: Forced labor or trafficking rescue operation. Incident occurred near Bengaluru Rural Traffic PS, Bengaluru Rural, Karnataka.",Convicted,Organized Crime & Extortion,Human Trafficking,Bengaluru Rural Traffic PS,Bengaluru Rural,13.2757,77.6250,CS004,CAT004,GR004,CH007,CSH022,U013,DIS002,OFF029
KSP/DIS003/2026/00065,2026-06-10,"Gambling reported at Ramanagara Town PS, Ramanagara. Brief: Illegal betting & Matka operation bust. Incident occurred near Ramanagara Town PS, Ramanagara, Karnataka.",Acquitted,Public Disturbance & Miscellaneous,Gambling,Ramanagara Town PS,Ramanagara,12.7309,77.2962,CS005,CAT001,GR005,CH012,CSH023,U014,DIS003,OFF045
KSP/DIS004/2026/00066,2026-07-11,"Wildlife Crime reported at Chikkaballapura Central PS, Chikkaballapura. Brief: Poaching of protected species or ivory seizure. Incident occurred near Chikkaballapura Central PS, Chikkaballapura, Karnataka.",Closed / Undetected,Environmental & Forest Crime,Wildlife Crime,Chikkaballapura Central PS,Chikkaballapura,13.4635,77.7595,CS006,CAT002,GR001,CH009,CSH024,U019,DIS004,OFF061
KSP/DIS005/2026/00067,2026-08-12,"Forest Crime reported at Kolar Cyber Crime PS, Kolar. Brief: Illegal sandalwood or timber smuggling. Incident occurred near Kolar Cyber Crime PS, Kolar, Karnataka.",Under Investigation,Environmental & Forest Crime,Forest Crime,Kolar Cyber Crime PS,Kolar,13.1777,78.1701,CS001,CAT003,GR002,CH009,CSH025,U024,DIS005,OFF077
KSP/DIS006/2026/00068,2026-09-13,"Terror Related Activity reported at Tumakuru Traffic PS, Tumakuru. Brief: Unlawful Activities Prevention Act (UAPA) investigation. Incident occurred near Tumakuru Traffic PS, Tumakuru, Karnataka.",Charge Sheeted,Terror & National Security,Terror Related Activity,Tumakuru Traffic PS,Tumakuru,13.3932,77.1555,CS002,CAT004,GR003,CH010,CSH026,U029,DIS006,OFF093
KSP/DIS007/2026/00069,2026-10-14,"Corruption reported at Shivamogga Town PS, Shivamogga. Brief: Prevention of Corruption Act bribe trap. Incident occurred near Shivamogga Town PS, Shivamogga, Karnataka.",Pending Trial,Economic & White Collar Offence,Corruption,Shivamogga Town PS,Shivamogga,13.9489,75.5871,CS003,CAT001,GR004,CH008,CSH027,U030,DIS007,OFF109
